id,email,status,created,subscription_tier,utm_source,utm_medium,utm_channel,utm_campaign,referring_site,referral_code,tags,stats.emails_received,stats.open_rate,stats.click_through_rate,custom_fields.first_name,custom_fields.last_name
sub_caa52a2c-518e-407d-bfd5-b7ac2a760e13,cameronmar@pm.me,active,1762761393,free,referral,,social,,techeurope.io,4XlYbIHY,"[""Active"", ""Engaged""]",8,85.0,24.6,Cameron,Martin
sub_6086f7b2-dcfb-4f28-9b5a-6ffbb795c261,diego12@hey.com,active,1773078262,free,,social,social,partner_collab,twitter.com,,"[""Active"", ""Engaged"", ""CoFounderMatching""]",9,71.2,18.9,Diego,Yilmaz
sub_cb212c6c-d851-4f5e-9221-7c81206b6205,aiko.choi@hey.com,active,1762722502,free,twitter,organic,social,partner_collab,linkedin.com,pUfhs7k8,"[""Active"", ""CoFounderMatching""]",9,38.0,11.0,Aiko,Choi
sub_4b56844b-8f3a-4da5-8bdb-b7d65ef6f3fb,harleyfer@gmail.com,active,1756687671,free,,newsletter,,,,,"[""Active"", ""At-risk""]",5,3.9,3.7,Harley,Ferrari
sub_75e1a9fb-5017-4fe7-a077-6da4f00374e2,ebernard@hey.com,active,1767185191,free,partner,,social,partner_collab,twitter.com,,"[""Active"", ""Engaged""]",15,83.8,12.3,Elena,Bernard
sub_812bcebd-c254-4ce4-a733-f1bfc21e22ce,alex_gruber@outlook.com,active,1758185876,free,,organic,social,launch_2025,,,"[""Active"", ""New""]",1,16.0,4.8,Alex,Gruber
sub_9f82f99d-e130-4bcb-a794-6f6206ca47ac,luca96@pm.me,active,1768733027,free,partner,newsletter,email,issue_47,,,"[""Active"", ""Engaged"", ""CoFounderMatching""]",3,62.0,14.8,Luca,Constantin
sub_b8f1bf3c-2e1e-4a0f-b49d-d9bfeb7c41c1,tomasz35@yahoo.com,active,1770108565,free,direct,organic,social,,,,"[""Active"", ""Engaged"", ""New""]",2,80.3,23.7,Tomasz,Holmberg
sub_2a73a64e-c220-4bc1-8fb0-f5564aa93d9c,erichter@fastmail.com,inactive,1763148303,free,partner,,social,issue_47,linkedin.com,,"[""CoFounderMatching""]",6,11.3,7.3,Elise,Richter
sub_d387d059-5c86-4f7e-8bfd-0e08aa941af9,jamiedem@pm.me,active,1771234912,free,referral,social,website,partner_collab,,,"[""Active"", ""Engaged"", ""New"", ""CoFounderMatching""]",1,81.9,8.7,Jamie,Demir
sub_6e763978-dd76-4174-8e3e-ca20bab2818d,emre.kowalczyk@gmail.com,inactive,1767736204,free,referral,organic,social,issue_45,twitter.com,8n7WhG2K,"[""New""]",2,7.3,2.4,Emre,Kowalczyk
sub_c02c7f5e-138e-40a5-b1d0-60d023d40a18,finley.demir@pm.me,active,1773113674,free,referral,,email,launch_2025,twitter.com,,"[""Active"", ""CoFounderMatching""]",9,29.7,17.0,Finley,Demir
sub_ead4dc93-9c6e-452a-8a47-dc02bbdf8cb4,charlie.fischer@yahoo.com,active,1762414132,free,direct,,,issue_47,,aFjhxTdS,"[""Active"", ""CoFounderMatching""]",13,33.1,11.4,Charlie,Fischer
sub_078259fd-46cb-499f-8c9c-d99d047870f4,santiago.ionescu@pm.me,inactive,1769104996,free,direct,email,social,issue_47,techeurope.io,,[],13,5.0,3.0,Santiago,Ionescu
sub_ff795fd3-7600-4ba7-b787-03e6330fdd67,zrichter@pm.me,active,1766308870,free,,organic,email,partner_collab,twitter.com,,"[""Active"", ""CoFounderMatching""]",7,44.3,25.1,Zara,Richter
