api_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,custom_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,What is your LinkedIn profile?,What company do you work for?,What is your job title?,Link to something you've built,Whats your most impressive achievement in the last 3 years?,What is your main goal for this hackathon?,Terms and Conditions
gst-GoEd9Sf53GRx8ffi,Cameron Martin,Cameron,Martin,cameronmar@pm.me,,2026-02-18T15:15:48.000Z,approved,2026-02-21T02:52:18.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=YeJA7oqtXRTtqemW,$0.00,$0.00,$0.00,usd,,,,5.0,Best hackathon I have been to in London. Will come back.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/cameron-martin-748,Stripe,ML Engineer,https://huggingface.co/spaces/cameron-martin,Led technical due diligence for a €20M Series A at a VC firm.,Find a co-founder with complementary skills.,Agreed
gst-hwVCC0fYsRLn1jS8,Diego Yilmaz,Diego,Yilmaz,diego12@hey.com,,2026-02-16T19:18:59.000Z,approved,2026-02-21T00:47:01.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=ydsYk70IIfgXhdWn,$0.00,$0.00,$0.00,usd,,,,3.0,Amazing community. The talks before hacking started were excellent.,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/diego-yilmaz-346,Klarna,Solutions Architect,,"Rebuilt the data platform for a Series B startup, cutting infrastructure costs by 40%.",Build something I can show to early customers.,Agreed
gst-4e9mOYf0Yh6d5ASE,Harley Ferrari,Harley,Ferrari,harleyfer@gmail.com,,2026-02-17T11:06:20.000Z,approved,2026-02-21T02:44:31.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=xAv4rBjMMOE2Dfxz,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/harley-ferrari-742,Meta,VP Product,https://github.com/harley-ferrari/open-source-lib,Created a developer tool that reduced onboarding time from 2 weeks to 3 days.,Network with engineers building at the frontier.,Agreed
gst-WwHE4Fyltn3Wd9GV,Elena Bernard,Elena,Bernard,ebernard@hey.com,,2026-02-18T05:55:48.000Z,approved,2026-02-21T03:32:56.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=98gOqY4d9n0Xv00k,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/elena-bernard-489,Mistral AI,Data Engineer,,Led technical due diligence for a €20M Series A at a VC firm.,Win the hackathon and validate the concept.,Agreed
gst-6IIl92EtEfonGa4m,Luca Constantin,Luca,Constantin,luca96@pm.me,,2026-02-18T18:42:23.000Z,approved,2026-02-21T02:34:51.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=iS40ubK4W017x6yg,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-RES0000001,Researcher / Student,https://linkedin.com/in/luca-constantin-746,Stripe,Researcher,https://github.com/luca-constantin/open-source-lib,Scaled a backend system from 10K to 5M daily active users across two data centres.,Win the hackathon and validate the concept.,Agreed
gst-k8R5WnKktQhT66y9,Tomasz Holmberg,Tomasz,Holmberg,tomasz35@yahoo.com,,2026-02-16T17:56:09.000Z,approved,2026-02-21T03:41:39.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=7cL57nJ6iUo8k2fR,$0.00,$0.00,$0.00,usd,,,,4.0,,evtticktyp-FND0000001,Founder,https://linkedin.com/in/tomasz-holmberg-770,Independent,Co-Founder,https://github.com/tomasz-holmberg/open-source-lib,"Led a team that automated 70% of manual ops workflows, saving 200+ engineer-hours per month.",Meet potential hires for a project I am starting.,Agreed
gst-pgaxT82ExHgD1OQk,Elise Richter,Elise,Richter,erichter@fastmail.com,,2026-02-16T08:49:47.000Z,approved,2026-02-21T01:02:44.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=e0st7ekxTH3fKMDb,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/elise-richter-669,Wise,Research Engineer,https://github.com/elise-richter/open-source-lib,Designed and deployed a real-time fraud detection system processing 1M+ transactions per day.,Have fun and meet interesting people.,Agreed
gst-mlRSTqrodJ0jwAsP,Bjorn Bjork,Bjorn,Bjork,bjorn_bjork@icloud.com,,2026-02-19T00:47:23.000Z,approved,2026-02-21T01:21:09.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=Lmbksf0tyEOfHl2w,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/bjorn-bjork-450,Stealth,ML Engineer,https://github.com/bjorn-bjork/open-source-lib,Raised a pre-seed round of €500K and launched an MVP within 90 days.,Ship a working prototype and get feedback from domain experts.,Agreed
gst-jRfPYzUodyG7Q6Jo,Emre Kowalczyk,Emre,Kowalczyk,emre.kowalczyk@gmail.com,,2026-02-17T03:10:21.000Z,approved,2026-02-21T01:35:09.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=sy0cJGJ8j6B6knlc,$0.00,$0.00,$0.00,usd,,,,4.0,Very impressed by the calibre of projects. Learned a lot.,evtticktyp-PFND000001,Pre-Founder,https://linkedin.com/in/emre-kowalczyk-905,Meta,Product Manager - AI,https://github.com/emrekowalczyk/demo-project,Co-founded a B2B SaaS tool reaching €250K ARR in 18 months with zero outside funding.,Build something I can show to early customers.,Agreed
gst-tTYfII1G4aRKWgjJ,Andrei Celik,Andrei,Celik,andrei48@hey.com,,2026-02-16T22:42:11.000Z,approved,2026-02-21T03:39:30.000Z,,https://luma.com/check-in/evt-TEHackLDN2026?pk=K7ggWW122qOJDkyM,$0.00,$0.00,$0.00,usd,,,,,,evtticktyp-ENG0000001,Engineer,https://linkedin.com/in/andrei-celik-402,Poolside,Data Engineer,https://github.com/andrei-celik/open-source-lib,Completed a PhD in ML with a focus on out-of-distribution generalisation.,Ship a working prototype and get feedback from domain experts.,Agreed
