Submission ID,Respondent ID,Submitted at,Name,LinkedIn,(Previous) Role,Location,Do you already have a specific problem space in mind?,Provide a brief description,What are your preferred areas to build in?,When are you available full-time?,What is your Email (for contact purposes)?,Do you want to be included in our newsletter (anonymized)?,Provide a short description about yourself/your project and what you are looking for,Untitled long answer field
t7wYh11,y4y8pfZ,2026-01-29 20:10:58,Diego Yilmaz,https://linkedin.com/in/diego-yilmaz-346,Solutions Architect,Edinburgh,Yes,EdTech: specifically adaptive learning for adult upskilling and professional certifications.,"Developer tools, Supply chain, LegalTech",In the next 6 months,diego12@hey.com,Yes,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
Dz0S2YZ,RFvLYTC,2026-01-01 02:42:46,Aiko Choi,https://linkedin.com/in/aiko-choi-256,DevOps Engineer,Helsinki,No,,"Data infrastructure, Cybersecurity, Developer tools",Already full time,aiko.choi@hey.com,Yes,CTO at an early-stage startup looking for a business-minded co-founder to help with GTM and fundraising.,
iyMtfjG,8ZV0QXt,2025-12-11 02:47:53,Vera Klein,https://linkedin.com/in/vera-klein-969,Research Engineer,Vienna,No,,Biotech,In 6-12 months,vera62@proton.me,No,Strategy consulting background at a Big 4. Want to build in B2B SaaS. Looking for someone technical.,
wyxZJbb,ILofCq0,2025-12-26 22:12:02,Luca Constantin,https://linkedin.com/in/luca-constantin-746,Researcher,Vienna,Yes,I have a clear thesis around developer productivity tooling — specifically reducing context-switching in large codebases.,"AgriTech, Data infrastructure, HRTech",In 6-12 months,luca96@pm.me,Yes,Senior software engineer looking to transition from employment to founding. Interested in developer tools or AI infra.,
hSA5CPh,Sl1WrEi,2026-02-22 06:50:04,Elise Richter,https://linkedin.com/in/elise-richter-669,Research Engineer,Prague,No,,AI / ML infrastructure,In the next 3 months,erichter@fastmail.com,Yes,Senior software engineer looking to transition from employment to founding. Interested in developer tools or AI infra.,
b8oBpKO,fD28ynx,2026-01-11 20:36:47,Jamie Demir,https://linkedin.com/in/jamie-demir-610,VP Product,Budapest,No,,"Climate / GreenTech, Cybersecurity",In 6-12 months,jamiedem@pm.me,Yes,"Freelance engineer, multiple failed side projects, learned a lot. Ready to commit to a co-founder relationship.",
967LUcp,Msyw8IJ,2026-01-19 18:05:52,Bjorn Bjork,https://linkedin.com/in/bjorn-bjork-450,ML Engineer,Dublin,Yes,Mental health tooling for enterprises — not consumer wellness apps but proper clinical pathways.,"Developer tools, Supply chain, Data infrastructure",In the next 3 months,bjorn_bjork@icloud.com,Yes,"PhD in ML, exploring commercialisation. Open to any sector where deep learning adds genuine defensibility.",
ihch2ZU,5r2MVqt,2026-03-06 16:48:00,Andrei Celik,https://linkedin.com/in/andrei-celik-402,Data Engineer,Edinburgh,No,,"FinTech, AI / ML infrastructure",In the next 3 months,andrei48@hey.com,Yes,"Former VC analyst, now looking to build. Interested in FinTech and data infrastructure. Need a technical lead.",
NBldlDk,Ch3EB9I,2026-03-06 09:30:23,Mikael Kumar,http://linkedin.com/in/mikael-kumar-708,Technical Co-Founder,Edinburgh,No,,FinOps,In 6-12 months,mikaelkum@gmail.com,No,Operator background (Head of Growth at two startups). Looking for a technical founder to build with.,
1lkFq3K,K8GJzeV,2025-12-22 20:14:43,Finley Demir,https://linkedin.com/in/finley-demir-657,CTO,Munich,No,,HealthTech,Already full time,finley.demir@pm.me,Yes,Engineer with experience in fintech. Interested in open banking or wealth management tooling.,
5gubCRD,MqOucMC,2026-02-02 19:39:22,Rowan Sato,https://linkedin.com/in/rowan-sato-392,Data Engineer,Budapest,Yes,,"HealthTech, Robotics / physical AI, Consumer AI",In the next 3 months,rowan61@gmail.com,No,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
e7xyl71,f0kWrUO,2025-12-10 10:52:32,Charlie Fischer,https://linkedin.com/in/charlie-fischer-132,Product Manager,Amsterdam,No,,"Data infrastructure, Developer tools",Already full time,charlie.fischer@yahoo.com,No,Full-stack engineer shipping solo projects. Ready to go full time on the right idea with the right person.,
fwmByqL,fAwlNfF,2026-03-06 07:30:14,Spencer Nakamura,https://linkedin.com/in/spencer-nakamura-200,Research Engineer,Budapest,No,,"HRTech, FinTech, Consumer AI",In 6-12 months,snakamura@fastmail.com,No,Previously led product at a growth-stage startup. Interested in climate tech or future of work.,
OfDeXs9,QspAJI4,2026-01-13 12:59:18,Zara Richter,https://linkedin.com/in/zara-richter-552,Principal Engineer,Budapest,No,,"FinTech, Future of Work, Open source tooling",Already full time,zrichter@pm.me,No,"PhD in ML, exploring commercialisation. Open to any sector where deep learning adds genuine defensibility.",
fFhPlly,f2sKCPM,2026-02-21 12:14:25,Ines Mensah,https://linkedin.com/in/ines-mensah-394,VC Analyst,London,Yes,Mental health tooling for enterprises — not consumer wellness apps but proper clinical pathways.,"AgriTech, PropTech",In the next 6 months,imensah@fastmail.com,Yes,Engineer with experience in fintech. Interested in open banking or wealth management tooling.,
HahkDQ1,7LEM8wP,2026-01-06 08:22:36,Ingrid Nwosu,https://linkedin.com/in/ingrid-nwosu-894,ML Engineer,Paris,Yes,,Supply chain,In 6-12 months,ingrid.nwosu@proton.me,Yes,CTO at an early-stage startup looking for a business-minded co-founder to help with GTM and fundraising.,
RlbDio0,1HfVjAh,2026-01-28 18:28:56,Mikael Leroy,https://linkedin.com/in/mikael-leroy-384,Senior PM,Copenhagen,Yes,"Focused on the intersection of AI and physical operations — logistics, warehousing, last-mile delivery.",B2B SaaS,In 6-12 months,mikael.leroy@gmail.com,Yes,Operator background (Head of Growth at two startups). Looking for a technical founder to build with.,
Zyug0Az,EJT9cyF,2026-03-02 13:17:56,Ioana Nwosu,https://linkedin.com/in/ioana-nwosu-217,Head of Product,Prague,Yes,,"AgriTech, LegalTech",In 6-12 months,ioana.nwosu@fastmail.com,Yes,Product manager with domain expertise in healthcare operations. Seeking a technical co-founder for a HealthTech project.,
d3zDE6v,Rbrlvon,2025-12-12 18:54:15,Ingrid Wisniewski,https://linkedin.com/in/ingrid-wisniewski-573,Technical Co-Founder,Barcelona,No,,"AgriTech, Data infrastructure",In the next 6 months,ingrid_wisniewski@outlook.com,No,Engineer with experience in fintech. Interested in open banking or wealth management tooling.,
